from pubchempy import get_compounds

# ok = set()
# nok = set()
# need = {'C', 'H', 'N', 'O', 'F', 'P', 'Cl', 'S', 'Br'}
# data = []
# res = []

# def judge(name):
#     if name in ok:
#         return True
#     if name in nok:
#         return False
#     print("need " + name)
#     compounds = get_compounds(name, 'name')
#     compound = compounds[0] if compounds else None
#     if compound:
#         tmp = set(compound.elements)
#         if not tmp.difference(need):
#             ok.add(name)
#             return True
#         else:
#             nok.add(name)
#             return False
#     else:
#         print("Can't get element of " + name)
#         res.append(name)
#         return False

# f = open('other.txt', 'w')
# with open('res.txt', 'r') as reader:
#     first_line = True
#     for line in reader:
#         if first_line:
#             first_line = False
#             continue
#         lines = line.split(';')
#         solute = lines[0]
#         solvent = lines[1]
#         if judge(solute) and judge(solvent):
#             f.write(line)

# f.close()
# f = open('res.txt', 'a')
# f.write('\n' + time.strftime("%Y-%m-%d %H:%M:%S", time.localtime()) + '\n')
# print("{} can't find".format(len(res)))
# for line in res:
#     f.write(line + '\n')
# f.close()

a = set()
cnt = 0
with open('Solv@Tum_reformated.txt', 'r') as reader:
    first_column = True
    for line in reader:
        if first_column:
            first_column = False
            continue
        if line in a:
            cnt += 1
        else:
            a.add(line)

print(cnt)
;PYRIDINE;CCCCOC(=O)C;c1ccncc1;-5.79
1,4-DIOXANE;DIETHYL ETHER;C1COCCO1;CCOCC;-4.61
ACETONE;DIETHYL ETHER;CC(=O)C;CCOCC;-3.51
BUTANONE;DIETHYL ETHER;CCC(=O)C;CCOCC;-4.13
ACETONITRILE;DIETHYL ETHER;CC#N;CCOCC;-3.63
TRIETHYLAMINE;DIETHYL ETHER;CCN(CC)CC;CCOCC;-4.45
NITROMETHANE;DIETHYL ETHER;C[N+](=O)[O-];CCOCC;-4.22
METHANOL;DIETHYL ETHER;CO;CCOCC;-3.38
TOLUENE;DIETHYL ETHER;Cc1ccccc1;CCOCC;-5.07
1-CHLOROBUTANE;DIETHYL ETHER;CCCCCl;CCOCC;-4.38
DICHLOROETHANE;DIETHYL ETHER;C(CCl)Cl;CCOCC;-4.45
PERFLUOROBENZENE;DIETHYL ETHER;c1(c(c(c(c(c1F)F)F)F)F)F;CCOCC;-4.27
PENTANE;TRIBUTYL PHOSPHATE;CCCCC;CCCCOP(=O)(OCCCC)OCCCC;-2.58
HEXANE;TRIBUTYL PHOSPHATE;CCCCCC;CCCCOP(=O)(OCCCC)OCCCC;-3.23
HEPTANE;TRIBUTYL PHOSPHATE;CCCCCCC;CCCCOP(=O)(OCCCC)OCCCC;-3.89
OCTANE;TRIBUTYL PHOSPHATE;CCCCCCCC;CCCCOP(=O)(OCCCC)OCCCC;-4.49
CHLOROFORM;TRIBUTYL PHOSPHATE;C(Cl)(Cl)Cl;CCCCOP(=O)(OCCCC)OCCCC;-4.92
CARBON TETRACHLORIDE;TRIBUTYL PHOSPHATE;C(Cl)(Cl)(Cl)Cl;CCCCOP(=O)(OCCCC)OCCCC;-4.07
1,4-DIOXANE;TRIBUTYL PHOSPHATE;C1COCCO1;CCCCOP(=O)(OCCCC)OCCCC;-4.43
ACETONE;TRIBUTYL PHOSPHATE;CC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-3.42
BUTANONE;TRIBUTYL PHOSPHATE;CCC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-4.07
PENTAN-2-ONE;TRIBUTYL PHOSPHATE;CCCC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-4.6
METHYL ACETATE;TRIBUTYL PHOSPHATE;CC(=O)OC;CCCCOP(=O)(OCCCC)OCCCC;-3.44
PROPYL ACETATE;TRIBUTYL PHOSPHATE;CCCOC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-4.53
BUTYL ACETATE;TRIBUTYL PHOSPHATE;CCCCOC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-5.16
ACETONITRILE;TRIBUTYL PHOSPHATE;CC#N;CCCCOP(=O)(OCCCC)OCCCC;-3.98
PROPIONITRILE;TRIBUTYL PHOSPHATE;CCC#N;CCCCOP(=O)(OCCCC)OCCCC;-4.39
BUTYRONITRILE;TRIBUTYL PHOSPHATE;CCCC#N;CCCCOP(=O)(OCCCC)OCCCC;-4.94
METHANOL;TRIBUTYL PHOSPHATE;CO;CCCCOP(=O)(OCCCC)OCCCC;-4.19
ETHANOL;TRIBUTYL PHOSPHATE;CCO;CCCCOP(=O)(OCCCC)OCCCC;-4.57
1-PROPANOL;TRIBUTYL PHOSPHATE;CCCO;CCCCOP(=O)(OCCCC)OCCCC;-5.32
TOLUENE;TRIBUTYL PHOSPHATE;Cc1ccccc1;CCCCOP(=O)(OCCCC)OCCCC;-4.82
ETHYLBENZENE;TRIBUTYL PHOSPHATE;CCc1ccccc1;CCCCOP(=O)(OCCCC)OCCCC;-5.4
ISOPROPANOL;TRIBUTYL PHOSPHATE;CC(C)O;CCCCOP(=O)(OCCCC)OCCCC;-4.73
CARBON DISULFIDE;TRIBUTYL PHOSPHATE;C(=S)=S;CCCCOP(=O)(OCCCC)OCCCC;-3.1
P-XYLENE;TRIBUTYL PHOSPHATE;Cc1ccc(cc1)C;CCCCOP(=O)(OCCCC)OCCCC;-5.42
ETHYL ACETATE;TRIBUTYL PHOSPHATE;CCOC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-3.94
2,2,4-TRIMETHYLPENTANE;TRIBUTYL PHOSPHATE;CC(C)CC(C)(C)C;CCCCOP(=O)(OCCCC)OCCCC;-3.86
1-CHLOROBUTANE;TRIBUTYL PHOSPHATE;CCCCCl;CCCCOP(=O)(OCCCC)OCCCC;-4.05
DICHLOROETHANE;TRIBUTYL PHOSPHATE;C(CCl)Cl;CCCCOP(=O)(OCCCC)OCCCC;-4.52
O-XYLENE;TRIBUTYL PHOSPHATE;Cc1ccccc1C;CCCCOP(=O)(OCCCC)OCCCC;-5.58
METHYLCYCLOHEXANE;TRIBUTYL PHOSPHATE;CC1CCCCC1;CCCCOP(=O)(OCCCC)OCCCC;-4.02
M-XYLENE;TRIBUTYL PHOSPHATE;Cc1cccc(c1)C;CCCCOP(=O)(OCCCC)OCCCC;-5.43
TRIBUTYL PHOSPHATE;TRIBUTYL PHOSPHATE;CCCCOP(=O)(OCCCC)OCCCC;CCCCOP(=O)(OCCCC)OCCCC;-10.61
3-HEXANONE;3-HEXANONE;CCCC(=O)CC;CCCC(=O)CC;-5.5
OCTANE;BROMOETHANE;CCCCCCCC;CCBr;-5.32
1,4-DIOXANE;BROMOETHANE;C1COCCO1;CCBr;-5.05
BUTANONE;BROMOETHANE;CCC(=O)C;CCBr;-4.67
NITROMETHANE;BROMOETHANE;C[N+](=O)[O-];CCBr;-4.44
TOLUENE;BROMOETHANE;Cc1ccccc1;CCBr;-5.33
PENTANE;CYCLOHEXANONE;CCCCC;C1CCC(=O)CC1;-2.7
HEXANE;CYCLOHEXANONE;CCCCCC;C1CCC(=O)CC1;-3.33
HEPTANE;CYCLOHEXANONE;CCCCCCC;C1CCC(=O)CC1;-4.02
OCTANE;CYCLOHEXANONE;CCCCCCCC;C1CCC(=O)CC1;-4.66
NONANE;CYCLOHEXANONE;CCCCCCCCC;C1CCC(=O)CC1;-5.25
DICHLOROMETHANE;CYCLOHEXANONE;C(Cl)Cl;C1CCC(=O)CC1;-4.13
CHLOROFORM;CYCLOHEXANONE;C(Cl)(Cl)Cl;C1CCC(=O)CC1;-4.73
CARBON TETRACHLORIDE;CYCLOHEXANONE;C(Cl)(Cl)(Cl)Cl;C1CCC(=O)CC1;-4.32
1,4-DIOXANE;CYCLOHEXANONE;C1COCCO1;C1CCC(=O)CC1;-5.0
ACETONE;CYCLOHEXANONE;CC(=O)C;C1CCC(=O)CC1;-3.8
BUTANONE;CYCLOHEXANONE;CCC(=O)C;C1CCC(=O)CC1;-4.49
ACETONITRILE;CYCLOHEXANONE;CC#N;C1CCC(=O)CC1;-4.3
TRIETHYLAMINE;CYCLOHEXANONE;CCN(CC)CC;C1CCC(=O)CC1;-4.11
NITROMETHANE;CYCLOHEXANONE;C[N+](=O)[O-];C1CCC(=O)CC1;-5.06
ETHANOL;CYCLOHEXANONE;CCO;C1CCC(=O)CC1;-4.31
TOLUENE;CYCLOHEXANONE;Cc1ccccc1;C1CCC(=O)CC1;-5.18
BROMOETHANE;CYCLOHEXANONE;CCBr;C1CCC(=O)CC1;-3.55
CARBON DISULFIDE;CYCLOHEXANONE;C(=S)=S;C1CCC(=O)CC1;-3.31
ETHYL ACETATE;CYCLOHEXANONE;CCOC(=O)C;C1CCC(=O)CC1;-4.33
CYCLOHEXANONE;CYCLOHEXANONE;C1CCC(=O)CC1;C1CCC(=O)CC1;-6.35
OCTANE;NITROETHANE;CCCCCCCC;CC[N+](=O)[O-];-4.02
1,4-DIOXANE;NITROETHANE;C1COCCO1;CC[N+](=O)[O-];-5.32
BUTANONE;NITROETHANE;CCC(=O)C;CC[N+](=O)[O-];-4.79
ETHANOL;NITROETHANE;CCO;CC[N+](=O)[O-];-3.85
TOLUENE;NITROETHANE;Cc1ccccc1;CC[N+](=O)[O-];-4.97
2-HEXANOL;2-HEXANOL;CCCCC(C)O;CCCCC(C)O;-6.61
CARBON TETRACHLORIDE;1-ETHOXYBUTANE;C(Cl)(Cl)(Cl)Cl;CCCCOCC;-4.29
1-ETHOXYBUTANE;1-ETHOXYBUTANE;CCCCOCC;CCCCOCC;-4.61
OCTANE;ETHYL PHENYL ETHER;CCCCCCCC;CCOc1ccccc1;-4.79
1,4-DIOXANE;ETHYL PHENYL ETHER;C1COCCO1;CCOc1ccccc1;-4.85
BUTANONE;ETHYL PHENYL ETHER;CCC(=O)C;CCOc1ccccc1;-2.91
NITROMETHANE;ETHYL PHENYL ETHER;C[N+](=O)[O-];CCOc1ccccc1;-4.33
ETHANOL;ETHYL PHENYL ETHER;CCO;CCOc1ccccc1;-4.63
TOLUENE;ETHYL PHENYL ETHER;Cc1ccccc1;CCOc1ccccc1;-5.05
PENTANE;HEXADECANE;CCCCC;CCCCCCCCCCCCCCCC;-2.95
HEXANE;HEXADECANE;CCCCCC;CCCCCCCCCCCCCCCC;-3.64
HEPTANE;HEXADECANE;CCCCCCC;CCCCCCCCCCCCCCCC;-4.33
OCTANE;HEXADECANE;CCCCCCCC;CCCCCCCCCCCCCCCC;-5.02
DICHLOROMETHANE;HEXADECANE;C(Cl)Cl;CCCCCCCCCCCCCCCC;-2.75
CHLOROFORM;HEXADECANE;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.38
CARBON TETRACHLORIDE;HEXADECANE;C(Cl)(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.85
DIETHYL ETHER;HEXADECANE;CCOCC;CCCCCCCCCCCCCCCC;-2.81
PROPYL ETHER;HEXADECANE;CCCOCCC;CCCCCCCCCCCCCCCC;-4.08
DIISOPROPYL ETHER;HEXADECANE;CC(C)OC(C)C;CCCCCCCCCCCCCCCC;-3.49
DIBUTYL ETHER;HEXADECANE;CCCCOCCCC;CCCCCCCCCCCCCCCC;-5.46
ETBE;HEXADECANE;CCOC(C)(C)C;CCCCCCCCCCCCCCCC;-3.52
TERT-AMYL METHYL ETHER;HEXADECANE;CCC(C)(C)OC;CCCCCCCCCCCCCCCC;-3.86
METHYL TERT-BUTYL ETHER;HEXADECANE;CC(C)(C)OC;CCCCCCCCCCCCCCCC;-3.12
TETRAHYDROFURAN;HEXADECANE;C1CCOC1;CCCCCCCCCCCCCCCC;-3.46
ACETONE;HEXADECANE;CC(=O)C;CCCCCCCCCCCCCCCC;-2.4
BUTANONE;HEXADECANE;CCC(=O)C;CCCCCCCCCCCCCCCC;-3.92
PENTAN-2-ONE;HEXADECANE;CCCC(=O)C;CCCCCCCCCCCCCCCC;-3.76
2-HEXANONE;HEXADECANE;CCCCC(=O)C;CCCCCCCCCCCCCCCC;-4.45
2-HEPTANONE;HEXADECANE;CCCCCC(=O)C;CCCCCCCCCCCCCCCC;-5.13
METHYL ACETATE;HEXADECANE;CC(=O)OC;CCCCCCCCCCCCCCCC;-2.67
PROPYL ACETATE;HEXADECANE;CCCOC(=O)C;CCCCCCCCCCCCCCCC;-3.93
BUTYL ACETATE;HEXADECANE;CCCCOC(=O)C;CCCCCCCCCCCCCCCC;-4.61
ACETONITRILE;HEXADECANE;CC#N;CCCCCCCCCCCCCCCC;-2.13
PROPIONITRILE;HEXADECANE;CCC#N;CCCCCCCCCCCCCCCC;-2.8
BUTYRONITRILE;HEXADECANE;CCCC#N;CCCCCCCCCCCCCCCC;-3.47
TRIETHYLAMINE;HEXADECANE;CCN(CC)CC;CCCCCCCCCCCCCCCC;-4.2
NITROMETHANE;HEXADECANE;C[N+](=O)[O-];CCCCCCCCCCCCCCCC;-2.58
METHANOL;HEXADECANE;CO;CCCCCCCCCCCCCCCC;-1.26
ETHANOL;HEXADECANE;CCO;CCCCCCCCCCCCCCCC;-2.03
1-PROPANOL;HEXADECANE;CCCO;CCCCCCCCCCCCCCCC;-2.86
N-BUTANOL;HEXADECANE;CCCCO;CCCCCCCCCCCCCCCC;-3.55
PENTANOL;HEXADECANE;CCCCCO;CCCCCCCCCCCCCCCC;-4.24
HEXANOL;HEXADECANE;CCCCCCO;CCCCCCCCCCCCCCCC;-4.92
HEPTAN-1-OL;HEXADECANE;CCCCCCCO;CCCCCCCCCCCCCCCC;-5.61
1-OCTANOL;HEXADECANE;CCCCCCCCO;CCCCCCCCCCCCCCCC;-6.3
NONANOL;HEXADECANE;CCCCCCCCCO;CCCCCCCCCCCCCCCC;-6.99
TOLUENE;HEXADECANE;Cc1ccccc1;CCCCCCCCCCCCCCCC;-4.56
ETHYLBENZENE;HEXADECANE;CCc1ccccc1;CCCCCCCCCCCCCCCC;-5.14
CHLOROBENZENE;HEXADECANE;c1ccc(cc1)Cl;CCCCCCCCCCCCCCCC;-4.97
BROMOETHANE;HEXADECANE;CCBr;CCCCCCCCCCCCCCCC;-2.76
ISOPROPANOL;HEXADECANE;CC(C)O;CCCCCCCCCCCCCCCC;-2.48
P-XYLENE;HEXADECANE;Cc1ccc(cc1)C;CCCCCCCCCCCCCCCC;-5.26
PYRIDINE;HEXADECANE;c1ccncc1;CCCCCCCCCCCCCCCC;-4.1
ETHYL ACETATE;HEXADECANE;CCOC(=O)C;CCCCCCCCCCCCCCCC;-3.24
1-CHLOROBUTANE;HEXADECANE;CCCCCl;CCCCCCCCCCCCCCCC;-3.71
DECAN-1-OL;HEXADECANE;CCCCCCCCCCO;CCCCCCCCCCCCCCCC;-7.68
DICHLOROETHANE;HEXADECANE;C(CCl)Cl;CCCCCCCCCCCCCCCC;-3.51
ACETIC ACID;HEXADECANE;CC(=O)O;CCCCCCCCCCCCCCCC;-2.39
ISOBUTANOL;HEXADECANE;CC(C)CO;CCCCCCCCCCCCCCCC;-3.19
TERT-BUTANOL;HEXADECANE;CC(C)(C)O;CCCCCCCCCCCCCCCC;-2.75
O-XYLENE;HEXADECANE;Cc1ccccc1C;CCCCCCCCCCCCCCCC;-5.37
3-METHYLBUTAN-1-OL;HEXADECANE;CC(C)CCO;CCCCCCCCCCCCCCCC;-4.11
2-PICOLINE;HEXADECANE;Cc1ccccn1;CCCCCCCCCCCCCCCC;-4.69
TETRAHYDROPYRAN;HEXADECANE;C1CCOCC1;CCCCCCCCCCCCCCCC;-4.08
3-PENTANONE;HEXADECANE;CCC(=O)CC;CCCCCCCCCCCCCCCC;-3.83
PENTYL ACETATE;HEXADECANE;CCCCCOC(=O)C;CCCCCCCCCCCCCCCC;-5.2
HEXYL ACETATE;HEXADECANE;CCCCCCOC(=O)C;CCCCCCCCCCCCCCCC;-5.83
ISOPROPYL ACETATE;HEXADECANE;CC(C)OC(=O)C;CCCCCCCCCCCCCCCC;-3.59
ISOBUTYL ACETATE;HEXADECANE;CC(C)COC(=O)C;CCCCCCCCCCCCCCCC;-4.34
ETHYL BUTANOATE;HEXADECANE;CCCC(=O)OCC;CCCCCCCCCCCCCCCC;-4.61
NITROETHANE;HEXADECANE;CC[N+](=O)[O-];CCCCCCCCCCCCCCCC;-3.23
M-XYLENE;HEXADECANE;Cc1cccc(c1)C;CCCCCCCCCCCCCCCC;-5.27
ANISOLE;HEXADECANE;COc1ccccc1;CCCCCCCCCCCCCCCC;-5.36
BENZONITRILE;HEXADECANE;c1ccc(cc1)C#N;CCCCCCCCCCCCCCCC;-5.46
TERT-AMYL ALCOHOL;HEXADECANE;CCC(C)(C)O;CCCCCCCCCCCCCCCC;-3.59
FLUOROBENZENE;HEXADECANE;c1ccc(cc1)F;CCCCCCCCCCCCCCCC;-3.87
BROMOBENZENE;HEXADECANE;c1ccc(cc1)Br;CCCCCCCCCCCCCCCC;-5.5
PHENYLAMINE;HEXADECANE;c1ccc(cc1)N;CCCCCCCCCCCCCCCC;-5.45
NITROBENZENE;HEXADECANE;c1ccc(cc1)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-6.08
BENZYL ALCOHOL;HEXADECANE;c1ccc(cc1)CO;CCCCCCCCCCCCCCCC;-6.06
3-HEXANOL;HEXADECANE;CCCC(CC)O;CCCCCCCCCCCCCCCC;-4.69
CYCLOHEXANONE;HEXADECANE;C1CCC(=O)CC1;CCCCCCCCCCCCCCCC;-4.93
ACETOPHENONE;HEXADECANE;CC(=O)c1ccccc1;CCCCCCCCCCCCCCCC;-6.12
IODOBENZENE;HEXADECANE;c1ccc(cc1)I;CCCCCCCCCCCCCCCC;-6.25
M-CRESOL;HEXADECANE;Cc1cccc(c1)O;CCCCCCCCCCCCCCCC;-5.91
4-METHYLPENTAN-2-ONE;HEXADECANE;CC(C)CC(=O)C;CCCCCCCCCCCCCCCC;-4.16
ETHYL PHENYL ETHER;HEXADECANE;CCOc1ccccc1;CCCCCCCCCCCCCCCC;-5.65
2-PENTANOL;HEXADECANE;CCCC(C)O;CCCCCCCCCCCCCCCC;-3.87
2-METHYLBUTAN-1-OL;HEXADECANE;CCC(C)CO;CCCCCCCCCCCCCCCC;-4.11
ALLYL ALCOHOL;HEXADECANE;C=CCO;CCCCCCCCCCCCCCCC;-2.72
DIIODOMETHANE;HEXADECANE;C(I)I;CCCCCCCCCCCCCCCC;-5.26
PENTANE;N-METHYLACETAMIDE;CCCCC;C/C(=N/C)/O;-2.17
HEXANE;N-METHYLACETAMIDE;CCCCCC;C/C(=N/C)/O;-2.74
HEPTANE;N-METHYLACETAMIDE;CCCCCCC;C/C(=N/C)/O;-3.34
DICHLOROMETHANE;N-METHYLACETAMIDE;C(Cl)Cl;C/C(=N/C)/O;-3.74
CHLOROFORM;N-METHYLACETAMIDE;C(Cl)(Cl)Cl;C/C(=N/C)/O;-4.57
CARBON TETRACHLORIDE;N-METHYLACETAMIDE;C(Cl)(Cl)(Cl)Cl;C/C(=N/C)/O;-3.9
DIETHYL ETHER;N-METHYLACETAMIDE;CCOCC;C/C(=N/C)/O;-2.77
DIISOPROPYL ETHER;N-METHYLACETAMIDE;CC(C)OC(C)C;C/C(=N/C)/O;-3.25
ETBE;N-METHYLACETAMIDE;CCOC(C)(C)C;C/C(=N/C)/O;-3.4
TERT-AMYL METHYL ETHER;N-METHYLACETAMIDE;CCC(C)(C)OC;C/C(=N/C)/O;-3.75
METHYL TERT-BUTYL ETHER;N-METHYLACETAMIDE;CC(C)(C)OC;C/C(=N/C)/O;-3.12
TETRAHYDROFURAN;N-METHYLACETAMIDE;C1CCOC1;C/C(=N/C)/O;-3.87
1,4-DIOXANE;N-METHYLACETAMIDE;C1COCCO1;C/C(=N/C)/O;-4.67
ACETONE;N-METHYLACETAMIDE;CC(=O)C;C/C(=N/C)/O;-3.67
BUTANONE;N-METHYLACETAMIDE;CCC(=O)C;C/C(=N/C)/O;-4.19
METHYL ACETATE;N-METHYLACETAMIDE;CC(=O)OC;C/C(=N/C)/O;-3.62
PROPYL ACETATE;N-METHYLACETAMIDE;CCCOC(=O)C;C/C(=N/C)/O;-4.54
BUTYL ACETATE;N-METHYLACETAMIDE;CCCCOC(=O)C;C/C(=N/C)/O;-5.14
ACETONITRILE;N-METHYLACETAMIDE;CC#N;C/C(=N/C)/O;-4.23
METHANOL;N-METHYLACETAMIDE;CO;C/C(=N/C)/O;-4.72
ETHANOL;N-METHYLACETAMIDE;CCO;C/C(=N/C)/O;-4.98
N-BUTANOL;N-METHYLACETAMIDE;CCCCO;C/C(=N/C)/O;-6.1
TOLUENE;N-METHYLACETAMIDE;Cc1ccccc1;C/C(=N/C)/O;-4.57
ETHYLBENZENE;N-METHYLACETAMIDE;CCc1ccccc1;C/C(=N/C)/O;-5.05
CHLOROBENZENE;N-METHYLACETAMIDE;c1ccc(cc1)Cl;C/C(=N/C)/O;-5.17
ISOPROPANOL;N-METHYLACETAMIDE;CC(C)O;C/C(=N/C)/O;-5.12
PYRIDINE;N-METHYLACETAMIDE;c1ccncc1;C/C(=N/C)/O;-5.35
ETHYL ACETATE;N-METHYLACETAMIDE;CCOC(=O)C;C/C(=N/C)/O;-4.04
DICHLOROETHANE;N-METHYLACETAMIDE;C(CCl)Cl;C/C(=N/C)/O;-4.45
ISOBUTANOL;N-METHYLACETAMIDE;CC(C)CO;C/C(=N/C)/O;-5.91
METHYLCYCLOHEXANE;N-METHYLACETAMIDE;CC1CCCCC1;C/C(=N/C)/O;-3.59
4-METHYLPENTAN-2-ONE;N-METHYLACETAMIDE;CC(C)CC(=O)C;C/C(=N/C)/O;-4.82
ALLYL ALCOHOL;N-METHYLACETAMIDE;C=CCO;C/C(=N/C)/O;-5.87
N-METHYLACETAMIDE;N-METHYLACETAMIDE;C/C(=N/C)/O;C/C(=N/C)/O;-8.61
PENTANE;1-PROPANOL;CCCCC;CCCO;-2.47
HEXANE;1-PROPANOL;CCCCCC;CCCO;-3.11
HEPTANE;1-PROPANOL;CCCCCCC;CCCO;-3.74
OCTANE;1-PROPANOL;CCCCCCCC;CCCO;-4.32
NONANE;1-PROPANOL;CCCCCCCCC;CCCO;-4.84
DICHLOROMETHANE;1-PROPANOL;C(Cl)Cl;CCCO;-3.34
CARBON TETRACHLORIDE;1-PROPANOL;C(Cl)(Cl)(Cl)Cl;CCCO;-3.75
DIISOPROPYL ETHER;1-PROPANOL;CC(C)OC(C)C;CCCO;-3.79
TETRAHYDROFURAN;1-PROPANOL;C1CCOC1;CCCO;-3.96
1,4-DIOXANE;1-PROPANOL;C1COCCO1;CCCO;-4.46
BUTANONE;1-PROPANOL;CCC(=O)C;CCCO;-4.19
TRIETHYLAMINE;1-PROPANOL;CCN(CC)CC;CCCO;-4.77
NITROMETHANE;1-PROPANOL;C[N+](=O)[O-];CCCO;-3.89
METHANOL;1-PROPANOL;CO;CCCO;-4.3
ETHANOL;1-PROPANOL;CCO;CCCO;-4.79
1-PROPANOL;1-PROPANOL;CCCO;CCCO;-5.43
N-BUTANOL;1-PROPANOL;CCCCO;CCCO;-6.1
PENTANOL;1-PROPANOL;CCCCCO;CCCO;-6.78
TOLUENE;1-PROPANOL;Cc1ccccc1;CCCO;-4.52
ETHYLBENZENE;1-PROPANOL;CCc1ccccc1;CCCO;-4.93
ISOPROPANOL;1-PROPANOL;CC(C)O;CCCO;-5.01
PYRIDINE;1-PROPANOL;c1ccncc1;CCCO;-5.44
2,2,4-TRIMETHYLPENTANE;1-PROPANOL;CC(C)CC(C)(C)C;CCCO;-3.67
1-CHLOROBUTANE;1-PROPANOL;CCCCCl;CCCO;-3.59
DECAN-1-OL;1-PROPANOL;CCCCCCCCCCO;CCCO;-9.73
PENTANE;ACETOPHENONE;CCCCC;CC(=O)c1ccccc1;-2.42
HEXANE;ACETOPHENONE;CCCCCC;CC(=O)c1ccccc1;-3.05
HEPTANE;ACETOPHENONE;CCCCCCC;CC(=O)c1ccccc1;-3.69
OCTANE;ACETOPHENONE;CCCCCCCC;CC(=O)c1ccccc1;-4.26
NONANE;ACETOPHENONE;CCCCCCCCC;CC(=O)c1ccccc1;-4.88
DICHLOROMETHANE;ACETOPHENONE;C(Cl)Cl;CC(=O)c1ccccc1;-3.79
CHLOROFORM;ACETOPHENONE;C(Cl)(Cl)Cl;CC(=O)c1ccccc1;-4.3
CARBON TETRACHLORIDE;ACETOPHENONE;C(Cl)(Cl)(Cl)Cl;CC(=O)c1ccccc1;-3.99
1,4-DIOXANE;ACETOPHENONE;C1COCCO1;CC(=O)c1ccccc1;-5.04
BUTANONE;ACETOPHENONE;CCC(=O)C;CC(=O)c1ccccc1;-4.42
ACETONITRILE;ACETOPHENONE;CC#N;CC(=O)c1ccccc1;-4.16
NITROMETHANE;ACETOPHENONE;C[N+](=O)[O-];CC(=O)c1ccccc1;-4.85
METHANOL;ACETOPHENONE;CO;CC(=O)c1ccccc1;-3.5
ETHANOL;ACETOPHENONE;CCO;CC(=O)c1ccccc1;-3.96
TOLUENE;ACETOPHENONE;Cc1ccccc1;CC(=O)c1ccccc1;-4.97
BROMOETHANE;ACETOPHENONE;CCBr;CC(=O)c1ccccc1;-3.37
CARBON DISULFIDE;ACETOPHENONE;C(=S)=S;CC(=O)c1ccccc1;-3.2
ACETIC ACID;ACETOPHENONE;CC(=O)O;CC(=O)c1ccccc1;-6.15
METHYLCYCLOHEXANE;ACETOPHENONE;CC1CCCCC1;CC(=O)c1ccccc1;-3.93
ACETOPHENONE;ACETOPHENONE;CC(=O)c1ccccc1;CC(=O)c1ccccc1;-7.64
HEXANE;2-PROPOXYETHANOL;CCCCCC;CCCOCCO;-3.17
HEPTANE;2-PROPOXYETHANOL;CCCCCCC;CCCOCCO;-3.77
NONANE;2-PROPOXYETHANOL;CCCCCCCCC;CCCOCCO;-4.95
DICHLOROMETHANE;2-PROPOXYETHANOL;C(Cl)Cl;CCCOCCO;-3.72
TETRAHYDROFURAN;2-PROPOXYETHANOL;C1CCOC1;CCCOCCO;-4.08
1,4-DIOXANE;2-PROPOXYETHANOL;C1COCCO1;CCCOCCO;-4.7
ACETONE;2-PROPOXYETHANOL;CC(=O)C;CCCOCCO;-3.63
ACETONITRILE;2-PROPOXYETHANOL;CC#N;CCCOCCO;-3.99
TOLUENE;2-PROPOXYETHANOL;Cc1ccccc1;CCCOCCO;-4.71
ETHYLBENZENE;2-PROPOXYETHANOL;CCc1ccccc1;CCCOCCO;-5.21
CHLOROBENZENE;2-PROPOXYETHANOL;c1ccc(cc1)Cl;CCCOCCO;-5.35
ISOPROPANOL;2-PROPOXYETHANOL;CC(C)O;CCCOCCO;-4.62
P-XYLENE;2-PROPOXYETHANOL;Cc1ccc(cc1)C;CCCOCCO;-5.26
O-XYLENE;2-PROPOXYETHANOL;Cc1ccccc1C;CCCOCCO;-5.44
METHYLCYCLOHEXANE;2-PROPOXYETHANOL;CC1CCCCC1;CCCOCCO;-3.94
M-XYLENE;2-PROPOXYETHANOL;Cc1cccc(c1)C;CCCOCCO;-5.26
FLUOROBENZENE;2-PROPOXYETHANOL;c1ccc(cc1)F;CCCOCCO;-4.33
BROMOBENZENE;2-PROPOXYETHANOL;c1ccc(cc1)Br;CCCOCCO;-5.92
2-PROPOXYETHANOL;2-PROPOXYETHANOL;CCCOCCO;CCCOCCO;-6.57
PENTANE;DECANE;CCCCC;CCCCCCCCCC;-3.12
HEXANE;DECANE;CCCCCC;CCCCCCCCCC;-3.81
HEPTANE;DECANE;CCCCCCC;CCCCCCCCCC;-4.5
OCTANE;DECANE;CCCCCCCC;CCCCCCCCCC;-5.16
NONANE;DECANE;CCCCCCCCC;CCCCCCCCCC;-5.93
TERT-AMYL METHYL ETHER;DECANE;CCC(C)(C)OC;CCCCCCCCCC;-4.16
METHYL TERT-BUTYL ETHER;DECANE;CC(C)(C)OC;CCCCCCCCCC;-3.48
1,4-DIOXANE;DECANE;C1COCCO1;CCCCCCCCCC;-3.97
ACETONE;DECANE;CC(=O)C;CCCCCCCCCC;-2.47
